person,categoria,genero,agno_nacimiento
Helia Molina,Cultura & Ciencia,femenino,1947
Adriana Muñoz,Cultura & Ciencia,femenino,1948
Íngrid Antonijevic,Cultura & Ciencia,femenino,1952
Sonia Tschorne,Cultura & Ciencia,femenino,1954
Catalina Parot,Cultura & Ciencia,femenino,1956
Cazú Zegers,Cultura & Ciencia,femenino,1958
Francisca Linconao,Cultura & Ciencia,femenino,1958
Marcela Ríos,Cultura & Ciencia,femenino,1966
Karine Espineira,Cultura & Ciencia,femenino,1967
Carmen Gloria Quintana,Cultura & Ciencia,femenino,1967
Marisol Prado,Cultura & Ciencia,femenino,1968
Isabel Behncke,Cultura & Ciencia,femenino,1976
Daniella Cicardini,Cultura & Ciencia,femenino,1987
Carmela Jeria,Cultura & Ciencia,femenino,1901
Marina de Navasal,Cultura & Ciencia,femenino,1922
Lucía Gevert Parada,Cultura & Ciencia,femenino,1932
Raquel Correa,Cultura & Ciencia,femenino,1934
Irene Geis,Cultura & Ciencia,femenino,1938
María Olivia Mönckeberg,Cultura & Ciencia,femenino,1944
Mónica Zalaquett,Cultura & Ciencia,femenino,1962
Karen Poniachik,Cultura & Ciencia,femenino,1965
Ivette Vergara,Cultura & Ciencia,femenino,1972
Mónica Rincón,Cultura & Ciencia,femenino,1975
Catalina Edwards,Cultura & Ciencia,femenino,1976
Carlos Hill,Deporte,masculino,1906
Roberto Luco B.,Deporte,masculino,1907
Nemesio Tamayo Bedarona,Deporte,masculino,1908
Erich Wichmann-Harbeck,Deporte,masculino,1900
Jorge Linford,Deporte,masculino,1902
Luis Vicentini,Deporte,masculino,1902
Segundo Flores,Deporte,masculino,1906
Conrado Welch,Deporte,masculino,1908
Domingo Torralva,Deporte,masculino,1900
Benjamín Berríos,Deporte,masculino,1901
Luis Contreras,Deporte,masculino,1903
José Arias Venegas,Deporte,masculino,1904
Fabiola Letelier,Política,femenino,1929
Carmen Hertz,Política,femenino,1945
Paulina Veloso,Política,femenino,1957
Nivia Palma,Política,femenino,1959
Antonia Urrejola,Política,femenino,1968
Laura Albornoz,Política,femenino,1968
Claudia Nogueira,Política,femenino,1969
Patricia Pérez Goldberg,Política,femenino,1974
Isidora Goyenechea,Otro,femenino,1836
Filomena Valenzuela Goyenechea,Otro,femenino,1848
Delia Matte Pérez,Otro,femenino,1886
Rosa Markmann,Otro,femenino,1907
Julita Astaburuaga,Otro,femenino,1919
Berta Quintremán,Otro,femenino,1937
Viviana Díaz,Otro,femenino,1950
Isabel Riquelme,Política,femenino,1758
Rafaela Bezanilla Bezanilla,Política,femenino,1797
Antonia Tarragó,Política,femenino,1832
Celinda Arregui,Política,femenino,1864
Carmen Frei,Política,femenino,1938
Adriana Delpiano,Política,femenino,1947
Melania Hotu,Política,femenino,1959
Francesca Muñoz,Política,femenino,1980
Natividad Llanquileo,Política,femenino,1984
Sor Tadea de San Joaquín,Cultura & Ciencia,femenino,1754
María Larraín de Vicuña,Cultura & Ciencia,femenino,1801
Eugenia Huici de Errázuriz,Cultura & Ciencia,femenino,1860
Mariana Cox Méndez,Cultura & Ciencia,femenino,1871
Sofía Eastman,Cultura & Ciencia,femenino,1873
Nina Frick Asenjo,Cultura & Ciencia,femenino,1884
Winétt de Rokha,Cultura & Ciencia,femenino,1892
Dora Puelma,Cultura & Ciencia,femenino,1898
María Monvel,Cultura & Ciencia,femenino,1899
Graciela Aranis,Cultura & Ciencia,femenino,1906
