"","person","genero","politico","agno_nacimiento"
"417","Carmen Gloria Quintana","femenino",0,1967
"418","Marisol Prado","femenino",0,1968
"419","Isabel Behncke","femenino",0,1976
"420","Daniella Cicardini","femenino",1,1987
"421","Carmela Jeria","femenino",0,1901
"422","Marina de Navasal","femenino",0,1922
"423","Lucía Gevert Parada","femenino",0,1932
"424","Raquel Correa","femenino",0,1934
"425","Irene Geis","femenino",0,1938
"426","María Olivia Mönckeberg","femenino",0,1944
"427","Mónica Zalaquett","femenino",1,1962
"428","Karen Poniachik","femenino",0,1965
"429","Ivette Vergara","femenino",0,1972
"430","Mónica Rincón","femenino",0,1975
"431","Catalina Edwards","femenino",0,1976
"432","Carlos Hill","masculino",0,1906
"433","Roberto Luco B.","masculino",0,1907
"434","Nemesio Tamayo Bedarona","masculino",0,1908
"435","Erich Wichmann-Harbeck","masculino",0,1900
"436","Jorge Linford","masculino",0,1902
"437","Luis Vicentini","masculino",0,1902
"438","Segundo Flores","masculino",0,1906
"439","Conrado Welch","masculino",0,1908
"440","Domingo Torralva","masculino",0,1900
"441","Benjamín Berríos","masculino",0,1901
"442","Luis Contreras","masculino",0,1903
"443","José Arias Venegas","masculino",0,1904
"444","Fabiola Letelier","femenino",0,1929
"445","Carmen Hertz","femenino",1,1945
"446","Paulina Veloso","femenino",1,1957
"447","Nivia Palma","femenino",1,1959
"448","Antonia Urrejola","femenino",1,1968
"449","Laura Albornoz","femenino",1,1968
"450","Claudia Nogueira","femenino",1,1969
"451","Patricia Pérez Goldberg","femenino",1,1974
"452","Isidora Goyenechea","femenino",0,1836
"453","Filomena Valenzuela Goyenechea","femenino",0,1848
"454","Delia Matte Pérez","femenino",0,1886
"455","Rosa Markmann","femenino",1,1907
"456","Julita Astaburuaga","femenino",0,1919
"457","Berta Quintremán","femenino",0,1937
"458","Viviana Díaz","femenino",0,1950
"459","Isabel Riquelme","femenino",1,1758
"460","Rafaela Bezanilla Bezanilla","femenino",1,1797
"461","Antonia Tarragó","femenino",0,1832
"462","Celinda Arregui","femenino",1,1864
"463","Carmen Frei","femenino",1,1938
"464","Adriana Delpiano","femenino",1,1947
"465","Melania Hotu","femenino",1,1959
"466","Francesca Muñoz","femenino",1,1980
"467","Natividad Llanquileo","femenino",1,1984
"468","Sor Tadea de San Joaquín","femenino",0,1754
"469","María Larraín de Vicuña","femenino",0,1801
"470","Eugenia Huici de Errázuriz","femenino",0,1860
"471","Mariana Cox Méndez","femenino",0,1871
"472","Sofía Eastman","femenino",0,1873
"473","Nina Frick Asenjo","femenino",0,1884
"474","Winétt de Rokha","femenino",0,1892
"475","Dora Puelma","femenino",0,1898
"476","María Monvel","femenino",0,1899
"477","Graciela Aranis","femenino",0,1906
"478","Inés Puyó","femenino",0,1906
"479","Clara Solovera","femenino",0,1909
"480","Maité Allamand","femenino",0,1911
"481","Yoya Martínez","femenino",0,1912
"482","Julieta Campusano","femenino",1,1918
"483","Raquel Barros","femenino",0,1919
"484","Juana Lecaros Izquierdo","femenino",0,1920
"485","Alicia Morel","femenino",0,1921
"486","Margarita Aguirre","femenino",0,1925
"487","Marina Latorre","femenino",0,1925
"488","Claudia Parada","femenino",0,1927
"489","Silvia Urbina","femenino",0,1928
"490","Silvia Victoria Araya González","femenino",1,1930
"491","María Eugenia Oyarzún","femenino",1,1936
"492","Monna Bell","femenino",0,1938
"493","Catalina Parra Troncoso","femenino",0,1940
"494","Soledad Fariña Vicuña","femenino",0,1943
"495","Mariana Matthews","femenino",0,1946
"496","Patricia Verdugo","femenino",0,1947
"497","Nelly Richard","femenino",0,1948
"498","Sonia Viveros","femenino",0,1949
"499","Catalina Guerra","femenino",0,1950
"500","Consuelo Holzapfel","femenino",0,1954
"501","Ximena Vidal","femenino",1,1955
"502","Graciela Huinao","femenino",0,1956
"503","Cecilia Echenique","femenino",0,1957
"504","Adriana Vacarezza","femenino",0,1959
"505","Isabel Gómez Muñoz","femenino",0,1959
"506","Claudia Barattini","femenino",0,1960
"507","Paulina Nin de Cardona","femenino",1,1960
"508","Marcela Donoso","femenino",0,1961
"509","Solange Lackington","femenino",0,1962
"510","Ingrid Wildi Merino","femenino",0,1963
"511","Alejandra Matus","femenino",0,1966
"512","Cristina Gallardo-Domâs","femenino",0,1967
"513","Lorene Prieto","femenino",0,1967
"514","Tara Holiday","femenino",0,1967
"515","Alejandra Fosalba","femenino",0,1969
"516","Andrea Jeftanovic","femenino",0,1970
"517","Andrea Molina","femenino",1,1970
"518","Bettina Perut","femenino",0,1970
"519","Colombina Parra","femenino",0,1970
"520","Juanita Parra","femenino",0,1970
"521","Alejandra Herrera","femenino",0,1971
"522","Magdalena Matthey","femenino",0,1971
"523","Valeria Zalaquett","femenino",0,1971
"524","Voluspa Jarpa","femenino",0,1971
"525","Ángela Contreras","femenino",0,1971
"526","Cathy Barriga","femenino",1,1973
"527","Francisca Merino","femenino",0,1973
"528","Catalina Pulido","femenino",0,1974
"529","Carolina Nissen","femenino",0,1976
"530","Daniela Aleuy","femenino",0,1976
"531","María José Prieto","femenino",0,1977
"532","Bárbara Ruiz-Tagle","femenino",0,1979
"533","Gabriela Barros","femenino",0,1980
"534","Albertina Martínez Burgos","femenino",0,1981
"535","Carolina Molina (cantante)","femenino",0,1981
"536","Elisa Zulueta","femenino",0,1981
"537","Luisa Mayol","femenino",0,1981
"538","Alia Trabucco","femenino",0,1983
"539","María José Urzúa","femenino",0,1983
"540","Bárbara Muñoz","femenino",0,1985
"541","Karen Bejarano","femenino",0,1985
"542","Juanita Ringeling","femenino",0,1986
"543","Gabriela Pulgar","femenino",0,1989
"544","Andrea Díaz","femenino",0,1991
"545","Camila Recabarren","femenino",0,1991
"546","Camila Silva (cantante)","femenino",0,1994
"547","Paula Luchsinger","femenino",0,1994
"548","Belén Soto","femenino",0,1997
"549","Trinidad de la Noi","femenino",0,1998
"550","Gertrudis Echeñique","femenino",0,1849
"551","Griselda Hinojosa","femenino",0,1875
"552","Lola Hoffmann","femenino",0,1904
"553","Wanda Quilhot","femenino",0,1929
"554","Glenda Kapstein Lomboy","femenino",0,1939
"555","María Angélica Cristi","femenino",1,1941
"556","Marcela Contreras","femenino",0,1942
"557","Íngrid Olderöck","femenino",0,1943
"558","Marta Mauras","femenino",0,1947
"559","María Eliana Ramírez","femenino",0,1948
"560","Rosa Devés","femenino",0,1950
"561","Josefa Errázuriz","femenino",0,1952
"562","María Soledad Barría","femenino",1,1953
"563","Gloria Hutt","femenino",1,1955
"564","Jeannette Vega","femenino",1,1957
"565","Laura Rodríguez","femenino",1,1957
"566","Marcela Hernando","femenino",1,1960
"567","Cecilia Puga","femenino",0,1961
"568","Jacqueline van Rysselberghe","femenino",1,1965
"569","Camila Merino","femenino",1,1967
"570","Verónica Vilches","femenino",0,1970
"571","Natalia Riffo","femenino",1,1971
"572","María Emilia Undurraga","femenino",0,1975
"573","Karla Rubilar","femenino",1,1977
"574","Cristina Dorador","femenino",1,1980
"575","Julieta Brodsky","femenino",1,1983
"576","Allison Göhler","femenino",0,1984
"577","Rosario Ortiz","femenino",0,1827
"578","Lenka Franulic","femenino",0,1908
"579","Silvia Pinto","femenino",1,1937
"580","Diana Arón","femenino",0,1950
"581","Patricia Maldonado","femenino",0,1950
"582","Tati Penna","femenino",0,1960
"583","Marisela Santibáñez","femenino",1,1975
"584","Soledad Onetto","femenino",0,1976
"585","Javiera Suárez","femenino",0,1982
"586","Valeria Ortega","femenino",0,1986
"587","Antonia Orellana","femenino",1,1989
"588","Togo Bascuñán","masculino",0,1905
"589","Carlos Opazo Aparicio","masculino",0,1901
"590","Christian Durán","masculino",0,1901
"591","Hugo Herrera Gaete","masculino",0,1901
"592","Iván Contreras","masculino",0,1901
"593","José Garcés Aniñir","masculino",0,1901
"594","Lorenzo Varoli","masculino",0,1901
"595","Néstor Fredes","masculino",0,1901
"596","Orlando Santis","masculino",0,1901
"597","Pablo Leal","masculino",0,1901
"598","Humberto Moreno","masculino",0,1903
"599","Santiago Urrutia","masculino",0,1908
"600","Anita Lizana","femenino",0,1915
"601","Berna Carrasco","femenino",0,1914
"602","Tomás Ojeda","masculino",0,1910
"603","Matilde Brandau","femenino",0,1879
"604","Amelia Herrera","femenino",1,1950
"605","María Soledad Cisternas","femenino",0,1959
"606","Marisol Peña Torres","femenino",0,1960
"607","Ana Lya Uriarte","femenino",1,1962
"608","María Loreto Silva","femenino",1,1964
"609","Jeannette Jara","femenino",1,1974
"610","Paola Tapia","femenino",1,1975
"611","Rosa Catrileo","femenino",1,1981
"612","Gael Yeomans","femenino",1,1988
"613","Camila Musante","femenino",0,1990
"614","Catalina Pérez Salinas","femenino",1,1990
"615","María Teresa del Canto","femenino",1,1898
"616","Ana Itelman","femenino",0,1927
"617","Paula Jaraquemada","femenino",0,1768
"618","Cecilia  Magni Camino","femenino",0,1956
"619","Carla Cordua","femenino",0,1925
"620","Adriana Valdés","femenino",0,1943
"621","María Catrileo","femenino",0,1944
"622","Mariana Aylwin Oyarzún","femenino",1,1949
"623","Olga Bianchi","femenino",0,1924
"624","Violeta Zúñiga","femenino",0,1933
"625","María Mercedes Fontecilla Valdivieso","femenino",1,1799
"626","Sara del Campo Yávar","femenino",1,1855
"627","Teresa Flores","femenino",0,1890
"628","Ramona Parra","femenino",0,1926
"629","Virginia Reginato","femenino",1,1939
"630","Clemira Pacheco Rivas","femenino",1,1961
